,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 35, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.621510,0.001086148,0.000011787
0.621390,0.001095624,0.000011838
0.621350,0.001097673,0.000011849
0.621250,0.001098441,0.000011853
0.621190,0.001098697,0.000011855
0.620970,0.001099978,0.000011862
0.620760,0.001109710,0.000011914
0.620520,0.001111759,0.000011925
0.620310,0.001114576,0.000011940
0.620070,0.001114832,0.000011941
0.619500,0.001117649,0.000011957
0.619490,0.001117905,0.000011958
0.619440,0.001118930,0.000011963
0.619390,0.001123284,0.000011987
0.619120,0.001125076,0.000011996
0.618860,0.001127125,0.000012007
0.618700,0.001128406,0.000012014
0.618490,0.001132760,0.000012037
0.618410,0.001133528,0.000012041
0.618370,0.001134040,0.000012044
0.618200,0.001137626,0.000012063
0.618120,0.001139418,0.000012072
0.618050,0.001141467,0.000012083
0.618010,0.001141723,0.000012084
0.617950,0.001150943,0.000012133
0.617910,0.001154529,0.000012152
0.617820,0.001154785,0.000012153
0.617660,0.001155297,0.000012156
0.617460,0.001158114,0.000012171
0.617420,0.001162724,0.000012195
0.617220,0.001164517,0.000012204
0.617120,0.001165285,0.000012208
0.617090,0.001226239,0.000012523
0.616960,0.001226751,0.000012526
0.616930,0.001229056,0.000012538
0.616920,0.001233666,0.000012561
0.616680,0.001234434,0.000012565
0.616540,0.001234946,0.000012568
0.616340,0.001235971,0.000012573
0.616320,0.001236739,0.000012577
0.616180,0.001239556,0.000012591
0.615720,0.001240068,0.000012594
0.615450,0.001240324,0.000012595
0.615390,0.001243142,0.000012609
0.615270,0.001243398,0.000012610
0.615160,0.001244166,0.000012614
0.615070,0.001247239,0.000012630
0.614950,0.001248008,0.000012634
0.614780,0.001250056,0.000012644
0.614740,0.001254666,0.000012667
0.614240,0.001258764,0.000012688
0.613790,0.001259020,0.000012689
0.613780,0.001259532,0.000012692
0.613610,0.001263118,0.000012710
0.613530,0.001263886,0.000012714
0.613410,0.001265167,0.000012720
0.613370,0.001265935,0.000012724
0.613250,0.001266960,0.000012729
0.612990,0.001268240,0.000012736
0.612960,0.001271313,0.000012751
0.612880,0.001271569,0.000012752
0.612830,0.001272338,0.000012756
0.612790,0.001277204,0.000012781
0.612600,0.001281301,0.000012801
0.612250,0.001281558,0.000012802
0.612210,0.001288472,0.000012837
0.612090,0.001289241,0.000012841
0.611930,0.001291802,0.000012853
0.611830,0.001295131,0.000012870
0.611800,0.001297948,0.000012884
0.611750,0.001299229,0.000012890
0.611630,0.001300253,0.000012895
0.611590,0.001303071,0.000012909
0.611510,0.001304351,0.000012915
0.611300,0.001315108,0.000012969
0.611140,0.001316644,0.000012976
0.610560,0.001325608,0.000013020
0.609930,0.001326632,0.000013025
0.609820,0.001331754,0.000013050
0.609740,0.001332779,0.000013055
0.609700,0.001333291,0.000013058
0.609650,0.001333803,0.000013060
0.609480,0.001354804,0.000013163
0.609440,0.001355060,0.000013164
0.609080,0.001356853,0.000013172
0.609070,0.001357877,0.000013177
0.609040,0.001362231,0.000013199
0.608950,0.001363256,0.000013203
0.608900,0.001366329,0.000013218
0.608660,0.001367097,0.000013222
0.608630,0.001370170,0.000013237
0.608550,0.001370683,0.000013239
0.608370,0.001370939,0.000013241
0.608290,0.001374268,0.000013257
0.608120,0.001380159,0.000013285
0.607970,0.001381439,0.000013291
0.607710,0.001386561,0.000013316
0.607630,0.001387586,0.000013321
0.607460,0.001390403,0.000013334
0.607420,0.001392964,0.000013346
0.607390,0.001393220,0.000013348
0.607170,0.001393988,0.000013351
0.607050,0.001394245,0.000013352
0.606970,0.001395781,0.000013360
0.606880,0.001404745,0.000013403
0.606850,0.001407306,0.000013415
0.606800,0.001410379,0.000013429
0.606770,0.001415245,0.000013453
0.606690,0.001416526,0.000013459
0.606590,0.001419599,0.000013473
0.606430,0.001422416,0.000013487
0.606390,0.001497712,0.000013838
0.606310,0.001499504,0.000013847
0.606190,0.001500785,0.000013853
0.606130,0.001504626,0.000013870
0.605900,0.001505395,0.000013874
0.605850,0.001586837,0.000014243
0.605730,0.001599130,0.000014298
0.605640,0.001599898,0.000014302
0.605600,0.001604764,0.000014324
0.605390,0.001608862,0.000014342
0.605310,0.001675193,0.000014634
0.605190,0.001676218,0.000014638
0.605180,0.001679547,0.000014653
0.605110,0.001680828,0.000014659
0.604820,0.001682108,0.000014664
0.604530,0.001683133,0.000014669
0.604320,0.001687487,0.000014688
0.604270,0.001691072,0.000014703
0.604240,0.001691584,0.000014705
0.604210,0.001692353,0.000014709
0.604190,0.001697475,0.000014731
0.604010,0.001697731,0.000014732
0.603950,0.001698243,0.000014734
0.603920,0.001701316,0.000014747
0.603810,0.001701572,0.000014749
0.603710,0.001704646,0.000014762
0.603660,0.001707975,0.000014776
0.603380,0.001708231,0.000014777
0.603040,0.001709768,0.000014784
0.602920,0.001713609,0.000014801
0.602750,0.001713866,0.000014802
0.602640,0.001716171,0.000014812
0.602460,0.001720268,0.000014829
0.602430,0.001727951,0.000014862
0.602290,0.001731537,0.000014878
0.602260,0.001733586,0.000014886
0.602000,0.001734610,0.000014891
0.601880,0.001737427,0.000014903
0.601600,0.001742550,0.000014925
0.601520,0.001742806,0.000014926
0.601090,0.001743062,0.000014927
0.601060,0.001745367,0.000014937
0.600970,0.001749208,0.000014953
0.600770,0.001752025,0.000014965
0.600720,0.001752282,0.000014966
0.600670,0.001756379,0.000014984
0.599900,0.001759453,0.000014997
0.599730,0.001776612,0.000015070
0.599680,0.001776868,0.000015071
0.599580,0.001777380,0.000015073
0.599510,0.001777892,0.000015075
0.599480,0.001781222,0.000015089
0.599410,0.001820406,0.000015254
0.599290,0.001820918,0.000015256
0.599280,0.001821943,0.000015260
0.599240,0.001831675,0.000015301
0.599190,0.001841919,0.000015344
0.599120,0.001844992,0.000015356
0.599070,0.001848834,0.000015372
0.598990,0.001852419,0.000015387
0.598910,0.001853700,0.000015393
0.598710,0.001855493,0.000015400
0.598500,0.001859846,0.000015418
0.598210,0.001861127,0.000015423
0.597920,0.001862407,0.000015429
0.597870,0.001863688,0.000015434
0.597830,0.001864200,0.000015436
0.597750,0.001869322,0.000015457
0.597680,0.001873676,0.000015475
0.597620,0.001874701,0.000015479
0.597600,0.001875469,0.000015483
0.597340,0.001876237,0.000015486
0.597310,0.001877262,0.000015490
0.597290,0.001880079,0.000015502
0.597130,0.001880591,0.000015504
0.597100,0.001883408,0.000015515
0.597020,0.001885457,0.000015524
0.597010,0.001890323,0.000015544
0.596970,0.001890835,0.000015546
0.596930,0.001891091,0.000015547
0.596760,0.001891347,0.000015548
0.596720,0.001896214,0.000015568
0.596630,0.001899543,0.000015581
0.596440,0.001904153,0.000015600
0.596340,0.001990717,0.000015950
0.596170,0.001993278,0.000015960
0.596100,0.001997632,0.000015978
0.596070,0.002010949,0.000016031
0.595850,0.002012230,0.000016036
0.595810,0.002015815,0.000016050
0.595650,0.002017096,0.000016055
0.595600,0.002035536,0.000016128
0.595550,0.002036048,0.000016130
0.595360,0.002038353,0.000016140
0.595270,0.002040402,0.000016148
0.595160,0.002041682,0.000016153
0.595080,0.002041938,0.000016154
0.595020,0.002045011,0.000016166
0.594970,0.002045268,0.000016167
0.594890,0.002046292,0.000016171
0.594650,0.002046804,0.000016173
0.594310,0.002048085,0.000016178
0.594280,0.002051670,0.000016192
0.594160,0.002052439,0.000016195
0.594150,0.002055512,0.000016207
0.593880,0.002056536,0.000016211
0.593870,0.002058329,0.000016218
0.593780,0.002062683,0.000016235
0.593530,0.002063451,0.000016238
0.593500,0.002073952,0.000016280
0.593420,0.002075488,0.000016286
0.593380,0.002075744,0.000016287
0.593120,0.002081635,0.000016310
0.592800,0.002081891,0.000016311
